niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
esim,alosim,europe-5gb-30d,2026-09_r1,https://alosim.com/europe-esim/,2026-09-07T10:59:24.765Z,200,referentiebundel,"5GB-30d (kandidaten: USD 12.5, USD 19.5)","$ 19.50 | 5 GB / 30 dagen | ic browsing $ 5.00 15 days 2 GB Maps, messaging, and basic browsing $ 8.00 30 days 3 GB Email, light browsing and messaging $ 12.50 30 days 5 GB Maps,",USD,month,88af66079b3364a8,http://web.archive.org/web/20260415092844/https://alosim.com/europe-esim/,prijsmeter-1.0.0/esim-v2-2026-09,1,2026-09-07,19.5,19.5,css_selector,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op 2026-09-01 door prijsmeter-spoor structurele blokkades (Claude), handmatig teruggelezen bij de bron: EENHEIDSWISSEL, geen prijssprong. De esim-meeteenheid is op 1-9-2026 veranderd van 'laagste betaalde instapplan' (dat op een databundel niet past) naar de referentiebundel van 5 GB met 30 dagen geldigheid voor de regio Europa: precies de eenheid die esimshortlist.com zelf publiceert in lib/priceIndex.ts. De vorige waarde en deze waarde zijn dus twee verschillende producten, en de sprong die validate.mjs meldt is die eenheidswissel. Het bedrag hieronder is op 1-9-2026 met de hand op de bronpagina teruggelezen voordat het hier is goedgekeurd. Vervalt 30-11-2026: daarna staan er drie ronden op de nieuwe eenheid en is een sprong weer een echte sprong. live gelezen: '5 GB ... $ 19.50 30 days', tussen 3 GB $12.50 en 10 GB $36.00; vergeleken in USD: 10 -> 19.5 per maand",f118d079c4dd05b4
esim,roamless,europe-5gb-30d,2026-09_r1,https://roamless.com/esim-region/europe-esim,2026-09-07T10:59:30.978Z,200,referentiebundel,"5GB-30d (kandidaten: USD 10.95, USD 17.95)",$17.95 | 5 GB / 30 dagen | countries for Europe (39) Plans Data plan Buy mobile data for planned stays. Valid only in Europe Expires in 30 days 1 GB $4.95 3 GB $10.95 5 GB $17.9,USD,month,0843d8edac0ab54f,https://web.archive.org/web/20260907111537/https://roamless.com/esim-region/europe-esim,prijsmeter-1.0.0/esim-v2-2026-09,1,2026-09-07,17.95,17.95,css_selector,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op 2026-09-01 door prijsmeter-spoor structurele blokkades (Claude), handmatig teruggelezen bij de bron: EENHEIDSWISSEL, geen prijssprong. De esim-meeteenheid is op 1-9-2026 veranderd van 'laagste betaalde instapplan' (dat op een databundel niet past) naar de referentiebundel van 5 GB met 30 dagen geldigheid voor de regio Europa: precies de eenheid die esimshortlist.com zelf publiceert in lib/priceIndex.ts. De vorige waarde en deze waarde zijn dus twee verschillende producten, en de sprong die validate.mjs meldt is die eenheidswissel. Het bedrag hieronder is op 1-9-2026 met de hand op de bronpagina teruggelezen voordat het hier is goedgekeurd. Vervalt 30-11-2026: daarna staan er drie ronden op de nieuwe eenheid en is een sprong weer een echte sprong. live gelezen: 'Expires in 30 days 1 GB $4.95 3 GB $10.95 5 GB $17.95 10 GB $30.95'; vergeleken in USD: 8.45 -> 17.95 per maand",4ad90523e5f52087
esim,saily,europe-5gb-30d,2026-09_r1,https://saily.com/esim-europe/,2026-09-07T10:59:35.390Z,403,referentiebundel+render,"5GB-30d (kandidaten: EUR 10.99, EUR 17.49)",€17.49 | 5 GB / 30 dagen | rnet access on your trip. Choose an eSIM data plan for Europe 1 GB 7 days €4.49 3% in Saily credits 3 GB 30 days €10.99 3% in Saily credits 5 GB 30 da,EUR,month,d5bd7c8682f3b8d3,http://web.archive.org/web/20260713021652/https://saily.com/esim-europe/,prijsmeter-1.0.0/esim-v2-2026-09,1.1622,2026-09-04,20.33,20.33,css_selector,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op 2026-09-01 door prijsmeter-spoor structurele blokkades (Claude), handmatig teruggelezen bij de bron: EENHEIDSWISSEL, geen prijssprong. De esim-meeteenheid is op 1-9-2026 veranderd van 'laagste betaalde instapplan' (dat op een databundel niet past) naar de referentiebundel van 5 GB met 30 dagen geldigheid voor de regio Europa: precies de eenheid die esimshortlist.com zelf publiceert in lib/priceIndex.ts. De vorige waarde en deze waarde zijn dus twee verschillende producten, en de sprong die validate.mjs meldt is die eenheidswissel. Het bedrag hieronder is op 1-9-2026 met de hand op de bronpagina teruggelezen voordat het hier is goedgekeurd. Vervalt 30-11-2026: daarna staan er drie ronden op de nieuwe eenheid en is een sprong weer een echte sprong. live gelezen: '5 GB 30 days EUR 17.49' (EUR-bron, hier omgerekend naar USD voor de index. de valutapoort van terugschrijf blokkeert koppeling aan de USD-site); vergeleken in EUR: 7.99 -> 17.49 per maand",ebce8a691bae6d4a
esim,nomad,europe-5gb-30d,2026-09_r1,https://www.nomadesim.com/europe-eSIM,2026-09-07T11:00:37.240Z,200,referentiebundel,"5GB-30d (kandidaten: EUR 10.33, EUR 15.07)",EUR 15.07 | 5 GB / 30 dagen | .36 Plan Details Unlimited For 10 DAYS EUR 29.28 Plan Details 1 GB For 7 DAYS EUR 4.74 Plan Details 3 GB For 30 DAYS EUR 10.33 Plan Details 5 GB For 3,EUR,month,1ebe965df3a9960f,https://web.archive.org/web/20260907111713/https://www.nomadesim.com/europe-eSIM,prijsmeter-1.0.0/esim-v2-2026-09,1.1622,2026-09-04,17.51,17.51,css_selector,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op 2026-09-01 door prijsmeter-spoor structurele blokkades (Claude), handmatig teruggelezen bij de bron: EENHEIDSWISSEL, geen prijssprong. De esim-meeteenheid is op 1-9-2026 veranderd van 'laagste betaalde instapplan' (dat op een databundel niet past) naar de referentiebundel van 5 GB met 30 dagen geldigheid voor de regio Europa: precies de eenheid die esimshortlist.com zelf publiceert in lib/priceIndex.ts. De vorige waarde en deze waarde zijn dus twee verschillende producten, en de sprong die validate.mjs meldt is die eenheidswissel. Het bedrag hieronder is op 1-9-2026 met de hand op de bronpagina teruggelezen voordat het hier is goedgekeurd. Vervalt 30-11-2026: daarna staan er drie ronden op de nieuwe eenheid en is een sprong weer een echte sprong. live gelezen: '5 GB For 30 DAYS EUR 15.07' (EUR-bron); vergeleken in USD: 12 -> 17.51 (eigen munt niet in beide maanden vast te stellen)",330574d71f262958
esim,bnesim,europe-5gb-30d,2026-09_r1,https://www.bnesim.com/plans/europe/,2026-09-07T11:00:43.785Z,200,referentiebundel,"5GB-30d (kandidaten: EUR 4.49, EUR 5.99, EUR 5.49, EUR 7.49)",4.49 EUR | 5 GB / 30 dagen | d GB Unlimited GB Size 10 days Duration 29.00 EUR Price 1 GB Size 30 days Duration 2.49 EUR Price 3 GB Size 30 days Duration 4.49 EUR Price 5 GB Size ,EUR,month,cc6d254912c68082,https://web.archive.org/web/20260907111738/https://www.bnesim.com/plans/europe/,prijsmeter-1.0.0/esim-v2-2026-09,1.1622,2026-09-04,5.22,5.22,css_selector,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op 2026-09-01 door prijsmeter-spoor structurele blokkades (Claude), handmatig teruggelezen bij de bron: EENHEIDSWISSEL, geen prijssprong. De esim-meeteenheid is op 1-9-2026 veranderd van 'laagste betaalde instapplan' (dat op een databundel niet past) naar de referentiebundel van 5 GB met 30 dagen geldigheid voor de regio Europa: precies de eenheid die esimshortlist.com zelf publiceert in lib/priceIndex.ts. De vorige waarde en deze waarde zijn dus twee verschillende producten, en de sprong die validate.mjs meldt is die eenheidswissel. Het bedrag hieronder is op 1-9-2026 met de hand op de bronpagina teruggelezen voordat het hier is goedgekeurd. Vervalt 30-11-2026: daarna staan er drie ronden op de nieuwe eenheid en is een sprong weer een echte sprong. live gelezen: '4.49 EUR Price 5 GB Size 30 days Duration', tussen 3 GB 2.49 EUR en 10 GB 5.99 EUR (EUR-bron). Opvallend goedkoop tegenover de rest. dat is bij BNESIM bekend maar deze rij is de eerste kandidaat voor een hercontrole; vergeleken in USD: 9.35 -> 5.22 (eigen munt niet in beide maanden vast te stellen)",421aee1a8c5f915f
esim,airalo,europe-5gb-30d,2026-09_r1,https://www.airalo.com/europe-esim,2026-09-07T11:11:28.939Z,200,manual,,,,unknown,becc346502c1c351,https://web.archive.org/web/20260907111807/https://www.airalo.com/europe-esim,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 1748966 bytes)",d5fdab65cffc1367
esim,instabridge,europe-5gb-30d,2026-09_r1,https://store.instabridge.com/mobile-data/europe,2026-09-07T11:12:10.636Z,200,manual,,,,unknown,aaa482d5ca17b338,https://web.archive.org/web/20260907111837/https://store.instabridge.com/mobile-data/europe,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 62056 bytes)",7574821c5ff1ee76
esim,ubigi,europe-5gb-30d,2026-09_r1,https://cellulardata.ubigi.com/rates-and-coverage/europe-data-plans/,2026-09-07T11:12:40.808Z,200,manual,,,,unknown,06124afe5b7dff1c,https://web.archive.org/web/20260907111957/https://cellulardata.ubigi.com/data-plans-and-coverage/ubigi-esim-data-plans/?region=europe&one-off=on&annual=on,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 5812296 bytes)",cd898a0ad9102d58
esim,holafly,europe-5gb-30d,2026-09_r1,https://esim.holafly.com/esim-europe/,2026-09-07T11:12:48.178Z,200,manual,,,,unknown,eaae0bd296793eb1,https://web.archive.org/web/20260907112028/https://esim.holafly.com/esim-europe/,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 329842 bytes)",e7784223599dfc03
esim,yesim,europe-5gb-30d,2026-09_r1,https://ye-sim.app/europe/,2026-09-07T11:12:54.872Z,0,manual,,,,unknown,,,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,robots.txt verbiedt deze pagina,
esim,maya-mobile,europe-5gb-30d,2026-09_r1,https://maya.net/,2026-09-07T11:12:57.375Z,200,manual,,,,unknown,0d841ae044ca3ad7,,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 1930940 bytes)",e569478b09890c6d
esim,gigsky,europe-5gb-30d,2026-09_r1,https://www.gigsky.com/regions/europe,2026-09-07T11:13:33.875Z,200,manual,,,,unknown,abe062de0333208c,https://web.archive.org/web/20260907112310/https://www.gigsky.com/regions/europe,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 330225 bytes)",0d83934930884a4f
esim,flexiroam,europe-5gb-30d,2026-09_r1,https://www.flexiroam.com/en-us/shop/esim-regional-data-plans,2026-09-07T11:14:13.394Z,200,manual,,,,unknown,d4da15f0da13416a,https://web.archive.org/web/20260907112442/https://www.flexiroam.com/en-us/shop/esim-regional-data-plans,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 73644 bytes)",2fec6a8a985c034a
esim,jetpac,europe-5gb-30d,2026-09_r1,https://www.jetpacglobal.com/,2026-09-07T11:14:50.225Z,200,manual,,,,unknown,9a015ff3f9bbfedd,https://web.archive.org/web/20260907112513/https://www.jetpacglobal.com/,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 731969 bytes)",b38c1332a9603e0c
esim,firsty,europe-5gb-30d,2026-09_r1,https://firsty.app/,2026-09-07T11:14:56.675Z,200,manual,,,,unknown,4a6beafb121f4989,https://web.archive.org/web/20260907112635/https://www.firsty.app/,prijsmeter-1.0.0/esim-v2-2026-09,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 729132 bytes)",2be79f83fa0a2aa1
